B106	夜間作戦空母、前線に出撃せよ！	出撃任務：「Saratoga Mk.II」を旗艦とした第一艦隊をKW環礁沖海域に展開、敵機動部隊を迎撃！「空母機動部隊迎撃戦」を見事成功させよ！夜戦作戦空母、抜錨！前線に出撃せよ！\n\n※第一艦隊 旗艦「Saratoga Mk.II」+自由枠5隻とし、「任務部隊 主力群」(6-5ボス戦)にS勝利で達成\n\n※「Saratoga Mk.II Mod.2」不可
B107	補給線の安全を確保せよ！	軽巡クラスの艦隊旗艦と2隻以上の駆逐艦または海防艦を中核とした警戒艦隊を編成、同艦隊で鎮守府海域(製油所地帯沿岸/南西諸島防衛線/鎮守府近海)の警戒と補給線安全確保にあたれ！\n\n※旗艦 軽巡級+(駆逐艦/海防艦)2隻＋自由枠3隻(1-5に限りルート制御のため自由枠1)とし、「敵主力艦隊」(1-3ボス戦)及び「敵機動部隊」(1-4ボス戦)、「敵通商破壊主力艦隊」(1-5ボス戦)を各1回A勝利以上で達成\n\n※B勝利の場合は現在検証中
B108	「第八駆逐隊」、南西へ！	第八駆逐隊任務：「第八駆逐隊」を含む艦隊で、鎮守府南西諸島沖、及び南西諸島バシー島沖に展開！同海域に跳梁する敵艦隊戦力を捕捉、これを撃滅せよ！\n\n※「第八駆逐隊」(「朝潮」+「大潮」+「荒潮」+「満潮」)4隻+自由枠2隻とし、「敵主力部隊」(1-2ボス戦)及び「敵通商破壊艦隊」(2-2ボス戦)を各1回S勝利で達成
B109	最精鋭「第八駆逐隊」、全力出撃！	第八駆逐隊：最精鋭「第八駆逐隊」を中核戦力とした艦隊を編成、北方海域キス島沖、および南方海域サーモン海域に突入！同海域の敵艦隊を撃滅、第八駆逐隊による完全勝利を刻め！\n\n※新編「第八駆逐隊」(「朝潮改二/改二丁」+「大潮改二」+「荒潮改二」+「満潮改二」)4隻+自由枠2隻とし、「敵キス島包囲艦隊」(3-2ボス戦)及び「敵補給部隊本体」(5-4ボス戦)を各1回S勝利で達成
B110	北方海域戦闘哨戒を実施せよ！	北方海域戦闘哨戒任務：北方AL海域に軽空母と水上機母艦及び軽巡を基幹戦力とした精鋭艦隊を投入。\n北方戦闘哨戒を反復実施、同方面の敵増援部隊主力を捕捉、これを撃滅し、北方海域戦線を防衛せよ！\n\n※軽空母1隻+水母1隻+軽巡1隻+自由枠3隻とし、「北方増援部隊主力」(3-5ボス戦)に2回S勝利で達成
B111	松輸送作戦、開始せよ！	防衛ラインの強化のため、艦隊旗艦「龍田改二」または「龍田改」、3隻以上の駆逐艦または海防艦を含む輸送護衛艦隊を編成、南西諸島防衛線及び鎮守府近海航路における作戦を複数回成功させよ！\n\n※旗艦「龍田改二/改」+(駆逐艦/海防艦)3隻+自由枠2隻とし、「敵機動部隊」(1-4ボス戦)に2回A勝利以上及び1-6を2回クリア(ゴール地点へ到達)で達成\n\n※任務進捗変化\n(同一海域2回達成を1単位として)\n50%(1/2)→達成(2/2)
B112	精鋭「四水戦」、南方海域に展開せよ！	「村雨改二」旗艦含む精鋭四水戦(4Sd)より4隻(他主力艦2隻)計6隻の精鋭艦隊を南方海域に展開。南方海域前面、サブ島沖海域、サーモン海域に突入、同南方海域方面の敵艦隊を撃破せよ！\n\n※旗艦「村雨改二」+(「由良改二」「夕立改二」「春雨改」「五月雨改」「秋月改」)より3隻+自由枠2隻とし、「敵前線司令艦隊」(5-1ボス戦)及び「敵サーモン方面主力艦隊」(5-3ボス戦)、「敵補給部隊本体」(5-4ボス戦)を各1回A勝利以上で達成
B113	松輸送作戦、継続実施せよ！	艦隊旗艦に軽巡級または駆逐艦、さらに3隻以上の駆逐艦または海防艦を含む輸送護衛艦隊を編成、防衛ラインの強化のため、南西諸島防衛線及び鎮守府近海航路における作戦を継続的に成功させよ！\n\n※旗艦(軽巡級/駆逐艦)+(駆逐艦/海防艦)3隻+自由枠2隻とし、「敵機動部隊」(1-4ボス戦)に3回A勝利以上及び1-6を3回クリア(ゴール地点へ到達)で達成\n\n※任務進捗変化\n50%(3/6)→80%(5/6)→達成(6/6)\n※駆逐艦を旗艦にした場合でも旗艦以外にも駆逐艦または海防艦(混在可)が3隻必要なので注意
B114	新編「四航戦」、全力出撃！	航空戦艦「伊勢改」「日向改」及び軽巡「大淀改」と1隻以上の駆逐艦を含む新編第四航空戦隊を編成、鎮守府近海航路、沖ノ島沖及び北方AL海域戦闘哨戒、カレー洋リランカ島沖の作戦に投入せよ！\n\n※「伊勢改」+「日向改」+「大淀改」+駆逐1隻+自由枠2隻とし、1-6を1回クリア(ゴール地点へ到達)及び「敵主力艦隊」(2-5ボス戦)及び「北方増援部隊主力」(3-5ボス戦)、「リランカ島港湾守備隊」(4-5ボス戦)を各1回A勝利以上で達成
B115	精鋭駆逐隊、獅子奮迅！	十分な装備と練度を誇る駆逐艦4隻からなる精鋭駆逐隊を含む艦隊を編成。鎮守府近海航路、東部オリョール海、北方キス島沖、西方カレー洋に投入、各戦線の作戦展開を成功させよ！\n\n※駆逐艦4隻+自由枠2隻とし、1-6を1回クリア(ゴール地点へ到達)及び「敵主力打撃群」(2-3ボス戦)及び「敵キス島包囲艦隊」(3-2ボス戦)、「東方主力艦隊」(4-2ボス戦)を各1回A勝利以上で達成\n\n※『十分な装備と練度を～』と説明文には書かれているが、任務達成要件に必要練度は設定されていない様でLv1の艦でも達成可
B116	「十八駆」、北方海域キス島へ！	精鋭「第十八駆逐隊」を投入し、北方海域キス島撤退作戦を実施する！同作戦に反復出撃し、キス島撤退作戦を完全成功させよ！\n\n※「霰改二」+「霞改二/改二乙」+「陽炎改」+「不知火改」+自由枠2隻とし、「敵キス島包囲艦隊」(3-2ボス戦)に2回S勝利で達成\n\n※ルート固定のため自由枠2隻は駆逐2隻/軽巡1隻・駆逐1隻/軽巡1隻・補給1隻のいずれかとなる
B117	最精鋭甲型駆逐艦、突入！敵中突破！	「黒潮改二」「不知火改二」「陽炎改二」のいずれかを旗艦、他2隻の練度75以上の甲型駆逐艦を配備した計6隻艦隊で西方カレー洋、北方キス島沖、南方サブ島沖海域に複数回突入、各作戦を完全成功させよ！\n\n※旗艦(「陽炎改二」「不知火改二」「黒潮改二」)より選択+(陽炎型(Lv75以上)/夕雲型(Lv75以上)の駆逐艦)2隻+自由枠3隻とし、「東方主力艦隊」(4-2ボス戦)、「敵キス島包囲艦隊」(3-2ボス戦)、「敵サーモン方面主力艦隊」(5-3ボス戦)に各2回S勝利で達成\n\n※旗艦はLv75未満でも可
B118	戦闘航空母艦、出撃せよ！	改装航空戦艦（戦闘航空母艦）一番艦、旗艦「伊勢改二」を中核とした航空火力打撃部隊を編成、北方AL海域戦闘哨戒、カレー洋リランカ島沖及びピーコック島沖の作戦に投入、敵を撃滅せよ！\n\n※旗艦「伊勢改二」+自由枠5隻とし、「北方増援部隊主力」(3-5ボス戦)、「リランカ島港湾守備隊」(4-5ボス戦)及び「離島守備隊」(6-4ボス戦)を各1回S勝利で達成？
B119	「伊勢改二」、敵機動部隊を迎撃せよ！	旗艦「伊勢改二」随伴駆逐艦2隻の航空戦隊を基幹とする艦隊をKW環礁沖空母機動部隊迎撃戦に投入！同反復出撃によって、同方面に来襲する敵機動部隊を迎撃、完全撃滅せよ！　「伊勢改二」、抜錨！\n\n※「KW環礁沖空母機動部隊迎撃戦」(6-5ボス戦)、3回S勝利で達成
B120	精鋭「第十八戦隊」、展開せよ！	精鋭「第十八戦隊」随伴駆逐艦2隻を含む艦隊を、鎮守府海域に展開、同南西諸島沖海域、南西諸島防衛線、鎮守府近海、鎮守府近海航路の各作戦を完全成功させよ！改装軽巡「天龍」「龍田」、出撃！\n\n※「天龍改二」+「龍田改二」+駆逐艦2隻+自由枠2隻とし、「敵主力部隊」(1-2ボス戦)、「敵機動部隊」(1-4ボス戦)、「敵通商破壊主力艦隊」(1-5ボス戦)を各1回S勝利。1-6を1回クリア(ゴール地点へ到達)で達成
B121	精鋭「二七駆」第一小隊、出撃せよ！	「白露改二」及び「時雨改二」から成る精鋭駆逐隊「二七駆」第一小隊を含む有力な艦隊を編成、東部オリョール海、ジャム島攻略作戦、サーモン海域北方、KW環礁沖海域に出撃、敵を撃滅せよ！\n\n※「白露改二」+「時雨改二」+自由枠4隻とし、「敵主力打撃群」(2-3ボス戦)、「東方派遣艦隊」(4-1ボス戦)、「敵任務部隊本隊」(5-5ボス戦)、「任務部隊 主力群」(6-5ボス戦)を各1回S勝利で達成
B122	精鋭「四戦隊」第二小隊、抜錨せよ！	「摩耶改二」及び「鳥海改二」から成る精鋭「第四戦隊」第二小隊を含む有力な艦隊を編成、南西諸島防衛線、東部オリョール海、アルフォンシーノ方面、カレー洋リランカ島沖に出撃、敵を撃滅せよ！\n\n※「摩耶改二」+「鳥海改二」+自由枠4隻とし、「敵機動部隊」(1-4ボス戦)、「敵主力打撃群」(2-3ボス戦)、「深海棲艦泊地艦隊」(3-3ボス戦)、「リランカ島港湾守備隊」(4-5ボス戦)を各1回S勝利で達成
B123	精強「十七駆」、北へ、南へ！	改装甲型駆逐艦「磯風乙改」「浜風乙改」「浦風丁改」「谷風丁改」4隻の精強「十七駆」を含む艦隊で鎮守府近海、キス島沖、ブルネイ泊地沖、南方海域前面に出撃、敵戦力と交戦、これを撃破せよ！\n\n※「磯風乙改」+「浜風乙改」+「浦風丁改」+「谷風丁改」+自由枠2隻とし、「敵通商破壊主力艦隊」(1-5ボス戦)、「敵キス島包囲艦隊」(3-2ボス戦)、「深海潜水艦隊集団　旗艦戦隊」(7-1ボス戦)、「敵南方前線司令艦隊」(5-1ボス戦)を各1回A勝利以上で達成
B124	「第七駆逐隊」、南西諸島を駆ける！	「曙」「潮」「漣」「朧」から成る「第七駆逐隊」2隻以上を含む有力な艦隊を編成、南西諸島近海、バシー海峡、東部オリョール海、沖ノ島海域の敵戦力を撃滅、南西諸島海域の制海権を確保せよ！\n\n※(「曙」「潮」「漣」「朧」)より2隻+自由枠4隻とし、「敵主力艦隊」(2-1ボス戦)、「敵通商破壊機動部隊 主力艦隊」(2-2ボス戦)、「敵主力打撃群」(2-3ボス戦)、「敵侵攻中核水上打撃部隊」(2-4ボス戦)に各1回S勝利で達成
B125	近海の警戒監視と哨戒活動を強化せよ！	軽巡旗艦、駆逐艦または海防艦2隻を含む艦隊を編成、南西諸島沖、製油所地帯沿岸、南西諸島防衛線、南西諸島近海、バシー海峡を哨戒、敵艦隊を捕捉撃滅、近海の制海権を確立せよ!\n\n※旗艦 軽巡+(駆逐艦/海防艦)2隻+自由枠3隻とし\n・(1-2) 南西諸島沖\n・(1-3) 製油所地帯沿岸\n・(1-4) 南西諸島防衛線\n・(2-1) 南西諸島近海\n・(2-2) バシー海峡\nのボス戦を各1回S勝利で達成
B126	主力オブ主力、抜錨開始！	甲型駆逐艦編成任務:夕雲型駆逐艦「夕雲改二」及び「巻雲改二」の2隻から成る精鋭第十駆逐隊を含む有力な艦隊を南方海域に投入、サブ島沖海域、サーモン海域、サーモン海域北方の敵を捕捉撃滅せよ！\n\n※「夕雲改二」+「巻雲改二」+自由枠4隻とし\n・(5-3) サブ島沖海域\n・(5-4) サーモン海域\n・(5-5) サーモン海域北方\nのボス戦をS勝利で達成
B127	冬季北方海域作戦	冬季北方作戦：軽巡級を旗艦とする有力な艦隊で、モーレイ海、アルフォンシーノ方面、北方海域全域及び北方AL海域に反復出撃！同海域に遊弋する敵艦隊を捕捉、これを撃滅し、北方海域制海権を確保せよ！\n\n※旗艦 軽巡級+自由枠5隻とし\n・(3-1) モーレイ海\n・(3-3) アルフォンシーノ方面\n・(3-4) 北方海域全域\n・(3-5) 北方AL海域\nのボス戦を各2回S勝利で達成
B128	「比叡」の出撃	「比叡」南方海域出撃任務：高速戦艦「比叡」を旗艦とする有力な艦隊で、南方海域サブ島海域及びサーモン海域に出撃。同作戦海域の敵艦隊と交戦、これを撃滅せよ！\n\n※旗艦「比叡」+自由枠5隻とし\n・(5-3) サブ島沖海域\n・(5-4) サーモン海域\nのボス戦を各1回S勝利で達成
B129	精鋭無比「第一戦隊」まかり通る！	第一艦隊第一戦隊、改装主力戦艦「長門改二」及び「陸奥改二」を中核とした水上打撃艦隊を編成、バシー海峡、北方AL海域戦闘哨戒、カレー洋リランカ島沖及び南方海域前面の敵を捕捉撃滅せよ！\n\n※第一艦隊 旗艦「長門型改二」+二番艦「長門型改二」+自由枠4隻とし\n・(2-2) バシー海峡\n・(3-5) 北方AL海域\n・(4-5) カレー洋リランカ島沖\n・(5-1) 南方海域前面\nのボス戦を各1回S勝利で達成
B130	精鋭無比「第一戦隊」まかり通る！【拡張作戦】	第一艦隊第一戦隊、改装主力戦艦「長門改二」及び「陸奥改二」を中核とした精鋭水上打撃艦隊を展開、南西諸島海域沖ノ島沖、南方海域サーモン海域北方、中部海域ピーコック島沖の敵戦力を撃滅せよ！\n\n※第一艦隊 旗艦「長門型改二」+二番艦「長門型改二」+自由枠4隻とし\n・(2-5) 沖ノ島沖\n・(5-5) サーモン海域北方\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各1回S勝利で達成
B131	航空戦艦戦隊、戦闘哨戒！	航空戦艦二隻を中核とする艦隊を編成、同艦隊で南西諸島防衛線、鎮守府近海及び東部オリョール海、タウイタウイ泊地沖に展開。同海域の脅威となる敵艦隊主力を捕捉、これを撃滅せよ！\n\n※航空戦艦2隻+自由枠4隻とし\n・(1-4) 南西諸島防衛線\n・(1-5) 鎮守府近海\n・(2-3) 東部オリョール海\n・(7-2-2/M) タウイタウイ泊地沖深部\nのボス戦を各1回S勝利で達成
B132	最精鋭「第四航空戦隊｣、出撃せよ！	｢日向改二」「伊勢改二」の最精鋭「四航戦」を含む第一艦隊で、鎮守府近海航路に反復出撃、さらに、カレー洋リランカ島沖、サーモン海域北方、KW環礁沖海域の敵艦隊を捕捉撃滅せよ！\n\n※第一艦隊に｢日向改二」+「伊勢改二」+自由枠4隻とし\n・(1-6) 鎮守府近海航路\nを2回クリア(ゴール地点へ到達)\n・(4-5) カレー洋リランカ島沖\n・(5-5) サーモン海域北方\n・(6-5) KW環礁沖海域\nのボス戦を各1回S勝利で達成
B133	重改装高速戦艦「金剛改二丙」、南方突入！	南方海域出撃任務：「金剛改二丙」を旗艦、随伴艦に金剛型1隻、駆逐艦2隻以上を含む艦隊で、南方海域前面、サブ島沖海域、サーモン海域、同海域北方に反復突入、各海域の敵を撃滅せよ！\n\n※旗艦「金剛改二丙」+随伴金剛型1隻+駆逐艦2隻+自由枠2隻とし\n・(5-1) 南方海域前面\n・(5-3) サブ島沖海域\n・(5-4) サーモン海域\n・(5-5) サーモン海域北方\nのボス戦を各2回S勝利で達成
B134	艦隊司令部の強化 【実施段階】	艦隊司令部強化：「大淀」を旗艦、随伴艦に「明石」または水上機母艦を含む艦隊を編成、同艦隊で東部オリョール海、アルフォンシーノ方面、西方ジャム島沖に反復出撃、敵艦隊を捕捉撃滅せよ！\n\n※旗艦「大淀」+(「明石」または水母)1隻+自由枠4隻とし\n・(2-3) 東部オリョール海\n・(3-3) アルフォンシーノ方面\n・(4-1) ジャム島沖\nのボス戦を各2回S勝利で達成
B135	近海哨戒を実施せよ！	哨戒任務：軽巡級1隻以上、駆逐艦または海防艦計3隻以上による艦隊で、鎮守府海域の南西諸島沖及び製油所地帯沿岸、南西諸島海域の南西諸島近海及びバシー海峡の哨戒を実施、敵を捕捉撃滅せよ！\n\n※軽巡級1隻+(駆逐/海防艦)3隻+自由枠2隻とし\n・(1-2) 南西諸島沖\n・(1-3) 製油所地帯沿岸\n・(2-1) 南西諸島近海\n・(2-2) バシー海峡\nのボス戦を各1回S勝利で達成
B136	精鋭「二四駆逐隊」出撃せよ！	二四駆出撃任務：「海風改二」を旗艦とし、「山風」「江風」「涼風」のうち2隻以上を含む艦隊を編成、東部オリョール海、沖ノ島海域、南方海域前面、サブ島沖海域に突入！敵艦隊を捕捉、撃滅せよ！\n\n※旗艦「海風改二」+（「山風」「江風」「涼風」）より2隻+自由枠3隻とし\n・(2-3) 東部オリョール海\n・(2-4) 沖ノ島海域\n・(5-1) 南方海域前面\n・(5-3) サブ島沖海域\nのボス戦を各1回S勝利で達成
B137	精強！「第一航空戦隊」出撃せよ！	第一艦隊旗艦「赤城改二(改二戊)」同二番艦「加賀」の第一航空戦隊を中核とした艦隊で、カレー洋リランカ島沖、珊瑚諸島沖に展開！さらにKW環礁沖海域に反復出撃！鎧袖一触！敵を粉砕せよ！\n\n※第一艦隊 旗艦「赤城改二/改二戊」+二番艦「加賀」+自由枠4隻とし\n・(4-5) カレー洋リランカ島沖\n・(5-2) 珊瑚諸島沖\nのボス戦を各1回S勝利\n・(6-5) KW環礁沖海域\nのボス戦を2回S勝利で達成
B138	「羽黒」「神風」、出撃せよ！	第五戦隊任務：「羽黒」「神風」を基幹として、他に重巡級1隻駆逐艦2隻、または駆逐艦4隻の艦隊で南西諸島近海、バシー海峡、東部オリョール海に出撃、敵艦隊と交戦、これを撃滅せよ！\n\n※「羽黒」+「神風」+(重巡級1隻+駆逐艦2隻+自由枠0隻の5隻編成)/(駆逐艦4隻の6隻編成)とし\n・(2-1) 南西諸島近海\n・(2-2) バシー海峡\n・(2-3) 東部オリョール海\nのボス戦を各1回S勝利で達成
B139	陸戦用装備の艦載運用実戦研究	陸戦用装備の艦載運用研究：水上機母艦または揚陸艦を含む艦隊を編成、西方海域カレー洋リランカ島沖及び中部北海域ピーコック島沖の各作戦において、敵地上戦力と交戦、これを複数回撃破せよ！\n\n※(水上機母艦/揚陸艦)1隻+自由枠5隻とし、\n・(4-5) カレー洋リランカ島沖\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各2回A勝利以上で達成？\nボス撃沈必須やB勝利可の報告が有り要検証\n\n※任務進捗変化\n(同一海域2回達成を1単位として)\n50%(1/2)→達成(2/2)
B140	「夕張改二」試してみてもいいかしら？	改装兵装実験軽巡「夕張改二」型を旗艦にした艦隊で、南西諸島沖ノ島沖、北方アルフォンシーノ方面、南方サブ島沖海域、中部グアノ環礁沖海域に展開！同戦域の敵艦隊主力を捜索、これを捕捉撃滅せよ！\n\n※旗艦「夕張改二/改二特/改二丁」+自由枠5隻とし\n・(2-5) 沖ノ島沖\n・(3-3) アルフォンシーノ方面\n・(5-3) サブ島沖海域\n・(6-3) グアノ環礁沖海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B141	新編「六水戦」出撃！後で感想、聞かせてね！	改装軽巡「夕張改二」型旗艦を含む第六水雷戦隊4隻以上を擁する艦隊で、鎮守府近海、鎮守府近海航路、さらに南西諸島バシー海峡、北方キス島沖、南西ブルネイ泊地沖の各作戦を、それぞれ完全成功させよ！\n\n※旗艦「夕張改二/改二特/改二丁」+(「睦月」「如月」「弥生」「卯月」「菊月」「望月」)より3隻+自由枠2隻とし\n・(1-5) 鎮守府近海\n・(2-2) バシー海峡\n・(3-2) キス島沖\n・(7-1) ブルネイ泊地沖\nのボス戦を各1回S勝利\n・(1-6) 鎮守府近海航路\nを1回クリア(ゴール地点へ到達)で達成？\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B142	再編「第三一駆逐隊」、抜錨せよ！	夕雲型駆逐艦「長波」「岸波」「朝霜」、そして「沖波改二」からなる再編第三一駆逐隊を含む艦隊を、製油所地帯沿岸、南西諸島防衛線、鎮守府近海、バシー海峡、東部オリョール海に展開、敵を撃破せよ！\n\n※「沖波改二」+「長波」+「岸波」+「朝霜」+自由枠2隻とし\n・(1-3) 製油所地帯沿岸\n・(1-4) 南西諸島防衛線\n・(1-5) 鎮守府近海\n・(2-2) バシー海峡\n・(2-3) 東部オリョール海\nのボス戦を各1回A勝利以上で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B143	「第五航空戦隊」、縦横無尽！	航空母艦「翔鶴」「瑞鶴」、護衛随伴駆逐艦「朧」「秋雲」を中核とした機動部隊を編成。同機動部隊を北方AL海域、珊瑚諸島沖、タウイタウイ泊地沖深部、KW環礁沖海域に展開、敵艦隊を捕捉撃滅せよ！\n\n※「翔鶴」+「瑞鶴」+「朧」+「秋雲」+自由枠2隻とし\n・(3-5) 北方AL海域\n・(5-2) 珊瑚諸島沖\n・(7-2-2/M) タウイタウイ泊地沖深部\n・(6-5) KW環礁沖海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B144	「比叡改二丙」見参！第三戦隊、南方突入！	「比叡改二丙」含む金剛型高速戦艦2隻以上、軽巡級1隻、駆逐艦1隻以上を含む艦隊を南方海域に投入！\n南方海域前面、珊瑚諸島沖、サブ島沖海域、サーモン海域、同北方の敵艦隊を捕捉、これを撃滅せよ！\n\n※「比叡改二丙」+金剛型1隻+軽巡級1隻+駆逐艦1隻+自由枠2隻とし\n・(5-1) 南方海域前面\n・(5-2) 珊瑚諸島沖\n・(5-3) サブ島沖海域\n・(5-4) サーモン海域\n・(5-5) サーモン海域北方\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(3/5)→80%(4/5)→達成(5/5)
B145	改装航空軽巡「Gotland andra」、出撃！	「Gotland andra」旗艦、随伴駆逐艦1隻以上を含む艦隊で、南西諸島海域沖ノ島海域に出撃！\nさらに西方カレー洋海域、カスガダマ島、カレー洋リランカ島沖に展開！同方面の敵を撃滅せよ！\n\n※旗艦「Gotland andra」+駆逐艦1隻+自由枠4隻とし\n・(2-4) 沖ノ島海域\n・(4-2) カレー洋海域\n・(4-4) カスガダマ島\n・(4-5) カレー洋リランカ島沖\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B146	「Gotland」戦隊、進撃せよ！	「Gotland andra」旗艦、随伴駆逐艦1隻以上を含む艦隊で、南西諸島海域沖ノ島沖に進撃！\nさらに中部海域に展開、グアノ環礁沖海域、中部北海域ピーコック島沖、KW環礁沖海域の敵を撃滅せよ！\n\n※旗艦「Gotland andra」+駆逐艦1隻+自由枠4隻とし\n・(2-5) 沖ノ島沖\n・(6-3) グアノ環礁沖海域\n・(6-4) 中部北海域ピーコック島沖\n・(6-5) KW環礁沖海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B147	南西諸島海域合同哨戒	米出身(USS)艦娘を2隻以上含む艦隊で、南西諸島海域のバシー海峡、東部オリョール海、沖ノ島海域の哨戒を実施。各作戦海域における敵艦隊を捜索、これを捕捉撃滅せよ！\n\n※米艦娘2隻+自由枠4隻とし\n・(2-2) バシー海域\n・(2-3) 東部オリョール海\n・(2-4) 沖ノ島海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(1/3)→80%(2/3)→達成(3/3)
B148	合同艦隊旗艦、改装「Fletcher」、抜錨！	「Fletcher改 Mod.2」を旗艦とする米・英・豪・蘭出身の艦娘計3隻以上を含む艦隊を編成、同艦隊を南西諸島防衛線、沖ノ島沖、北方AL海域に展開！各作戦海域の敵艦隊と交戦、これを撃滅せよ！\n\n※旗艦「Fletcher改 Mod.2」+(米艦娘/英艦娘/豪艦娘/蘭艦娘)2隻+自由枠3隻とし\n・(1-4) 南西諸島防衛線\n・(2-5) 沖ノ島沖\n・(3-5) 北方AL海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(1/3)→80%(2/3)→達成(3/3)
B149	改装護衛駆逐艦「Fletcher Mk.II」作戦開始！	「Fletcher Mk.II」を旗艦とする米・英・豪・蘭出身の艦娘計3隻以上を含む精鋭艦隊を編成、同艦隊を鎮守府近海、ブルネイ泊地沖、MS諸島沖、KW環礁沖海域に反復出撃！敵艦隊を捕捉、撃滅せよ！\n\n※旗艦「Fletcher Mk.II」+(米艦娘/英艦娘/豪艦娘/蘭艦娘)2隻+自由枠3隻とし\n・(1-5) 鎮守府近海\n・(7-1) ブルネイ泊地沖\n・(6-2) MS諸島沖\n・(6-5) KW環礁沖海域\nのボス戦を各2回S勝利で達成\n\n※任務進捗変化\n(同一海域2回達成を1単位として)\n50%(2/4)→80%(3/4)→達成(4/4)
B150	合同艦隊作戦任務【拡張作戦】	【拡張作戦:甲作戦級】「Fletcher Mk.II」を含む米・英・豪・蘭出身の艦娘計4隻以上を含む精鋭艦隊を編成、カレー洋リランカ島沖、サーモン海域北方、中部北海域ピーコック島沖に反復出撃！敵戦力を撃滅せよ！\n\n※「Fletcher Mk.II」+(米艦娘/英艦娘/豪艦娘/蘭艦娘)3隻+自由枠2隻とし\n・(4-5) カレー洋リランカ島沖\n・(5-5) サーモン海域北方\n・(6-4) 中部北海域ピーコック島沖\nのボス戦を各2回S勝利で達成\n\n※任務進捗変化\n(同一海域2回達成を1単位として)\n50%(1/3)→80%(2/3)→達成(3/3)
B151	合同艦隊機動部隊、出撃せよ！	米・英出身航空母艦を1隻以上含む機動部隊で、西方海域リランカ島、北方海域全域、さらに南方海域珊瑚諸島沖、南西海域タウイタウイ泊地沖深部に展開、各方面の敵戦力を撃滅せよ！\n\n※米・英出身航空母艦1隻+自由枠5隻とし\n・(4-3) リランカ島\n・(3-4) 北方海域全域\n・(5-2) 珊瑚諸島沖\n・(7-2-2/M) タウイタウイ泊地沖深部\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B152	【航空母艦特別任務】航空戦隊、精鋭無比！	航空母艦特別任務：精強な正規空母2隻以上を擁する航空戦隊を中核とした機動部隊の精鋭で、南西諸島海域沖ノ島海域、同沖ノ島沖、西方海域リランカ島に出撃！各方面の敵戦力を撃滅せよ！\n\n※正規空母2隻+自由枠4隻とし\n・(2-4) 沖ノ島海域\n・(2-5) 沖ノ島沖\n・(4-3) リランカ島\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(1/3)→80%(2/3)→達成(3/3)
B153	改加賀型航空母艦「加賀改二」、抜錨！	旗艦「加賀改二」型航空母艦、僚艦に正規空母1隻以上を含む機動部隊を編成、西方海域カスガダマ島、カレー洋リランカ島沖、北方海域全域、南方海域珊瑚諸島沖に展開！各方面の敵戦力を撃滅せよ！\n\n※旗艦「加賀改二/改二戊/改二護」+正規空母1隻+自由枠4隻とし\n・(3-4) 北方海域全域\n・(4-4) カスガダマ島\n・(4-5) カレー洋リランカ島沖\n・(5-2) 珊瑚諸島沖\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B154	最精鋭「第一航空戦隊」、出撃！鎧袖一触！	「赤城改二」「加賀改二」型両航空母艦による最精鋭「第一航空戦隊」を中核とした艦隊で、サーモン海域北方、タウイタウイ泊地沖深部、中部海域MS諸島沖、同KW環礁沖海域に展開！敵を捕捉撃滅せよ！\n\n※「赤城改二/改二戊」+「加賀改二/改二戊/改二護」+自由枠4隻とし\n・(5-5) サーモン海域北方\n・(7-2-2/M) タウイタウイ泊地沖深部\n・(6-2) MS諸島沖\n・(6-5) KW環礁沖海域\nのボス戦を各1回S勝利で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B155	重巡「羽黒」、出撃！ペナン沖海戦	重巡「羽黒」を旗艦とした5隻以下の艦隊で、南西海域マラッカ海峡に進出！ペナン島沖において、敵駆逐隊を捕捉、これに複数回痛打を与えよ！精強たる我が重巡「羽黒」、出撃せよ！\n\n※旗艦「羽黒」+自由枠4隻の総数5隻までの艦隊とし\n・(7-3-1/E) ペナン島沖\nのボス戦を4回A勝利以上で達成\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
